scenario,stage,n,mean,median,minimum,maximum,sd
malicious_cron_persistence,Detection and active confirmation,5,20.87,20.49,17.66,23.69,2.24
malicious_cron_persistence,Evidence capture,5,55.97,58.04,47.12,60.01,5.1
malicious_cron_persistence,Quarantine,5,81.93,82.89,75.57,87.92,5.62
malicious_cron_persistence,Stale Wazuh agent cleanup,5,65.4,66.28,61.77,67.94,2.39
malicious_cron_persistence,IaC replacement,5,100.04,103.26,84.39,106.26,8.99
malicious_cron_persistence,Post-recovery validation,5,236.36,37.22,33.14,691.74,295.57
malicious_cron_persistence,Monitoring restoration (nested inside validation),5,223.34,22.81,21.31,681.81,297.11
malicious_cron_persistence,Total workflow,5,560.57,375.43,345.31,1000.14,290.04
malicious_systemd_persistence,Detection and active confirmation,5,20.86,21.25,18.01,22.35,1.72
malicious_systemd_persistence,Evidence capture,5,16.23,16.2,13.28,18.96,2.34
malicious_systemd_persistence,Quarantine,5,78.84,80.56,70.42,85.42,5.64
malicious_systemd_persistence,Stale Wazuh agent cleanup,5,71.52,71.91,57.34,84.83,10.1
malicious_systemd_persistence,IaC replacement,5,136.21,129.26,108.06,167.47,24.43
malicious_systemd_persistence,Post-recovery validation,5,557.8,652.32,351.59,703.29,170.0
malicious_systemd_persistence,Monitoring restoration (nested inside validation),5,544.69,630.7,343.25,691.18,166.11
malicious_systemd_persistence,Total workflow,5,881.45,1008.41,637.59,1065.11,202.18
unauthorized_local_user,Detection and active confirmation,5,21.66,21.2,15.57,31.67,6.59
unauthorized_local_user,Evidence capture,5,54.22,53.53,39.58,80.29,16.58
unauthorized_local_user,Quarantine,5,71.96,72.53,66.78,78.77,4.98
unauthorized_local_user,Stale Wazuh agent cleanup,5,60.34,58.51,41.51,82.0,17.74
unauthorized_local_user,IaC replacement,5,127.29,130.53,74.12,197.11,45.99
unauthorized_local_user,Post-recovery validation,5,691.66,706.1,655.13,721.34,32.85
unauthorized_local_user,Monitoring restoration (nested inside validation),5,683.43,697.84,645.39,712.36,32.88
unauthorized_local_user,Total workflow,5,1027.14,993.18,973.53,1162.23,77.3
unauthorized_ssh_public_key,Detection and active confirmation,5,17.42,17.52,16.16,18.29,0.79
unauthorized_ssh_public_key,Evidence capture,5,48.72,49.07,47.47,49.16,0.72
unauthorized_ssh_public_key,Quarantine,5,67.58,67.99,63.49,72.15,3.45
unauthorized_ssh_public_key,Stale Wazuh agent cleanup,5,57.65,59.46,48.47,62.08,5.32
unauthorized_ssh_public_key,IaC replacement,5,129.58,126.61,108.37,155.51,21.23
unauthorized_ssh_public_key,Post-recovery validation,5,686.1,679.59,670.55,719.06,19.2
unauthorized_ssh_public_key,Monitoring restoration (nested inside validation),5,674.31,663.9,661.89,709.42,20.07
unauthorized_ssh_public_key,Total workflow,5,1007.06,996.96,983.35,1038.58,23.29
unexpected_listener,Detection and active confirmation,5,16.93,16.91,16.1,17.6,0.57
unexpected_listener,Evidence capture,5,17.75,17.95,17.12,18.08,0.41
unexpected_listener,Quarantine,5,77.88,78.32,74.85,81.0,2.84
unexpected_listener,Stale Wazuh agent cleanup,5,67.87,66.78,66.66,71.31,2.0
unexpected_listener,IaC replacement,5,136.72,134.11,119.38,162.26,18.56
unexpected_listener,Post-recovery validation,5,735.72,740.39,683.37,788.47,37.83
unexpected_listener,Monitoring restoration (nested inside validation),5,721.69,727.93,672.86,768.19,34.48
unexpected_listener,Total workflow,5,1052.87,1053.84,998.99,1089.24,37.6
